name,lat,lon_e,diameter_km,body,catalogue_scope
Eudocia,-59.066,201.958,27.5,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Wu Hou,-25.511,317.418,27.5,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Nilsson,-75.939,277.566,27.3,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Trollope,-54.761,246.366,27.2,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Adamson,-14.806,29.635,27.2,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Scarpellini,-23.249,34.599,27.1,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Nin,-3.932,266.432,27.1,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Piret,37.794,41.723,27.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Barrera,16.564,109.419,27.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Orczy,3.696,52.31,26.9,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Udaltsova,-20.285,275.348,26.7,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Hansberry,-22.705,324.089,26.6,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Kingsley,-22.623,306.372,26.6,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Efimova,80.959,223.352,26.5,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Magnani,58.616,337.208,26.4,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Glaspell,-58.434,269.559,26.3,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Piscopia,1.502,190.909,26.2,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Samintang,-39.012,80.707,25.9,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Lind,50.22,355.027,25.8,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Taussig,-9.228,229.02,25.8,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Monika,72.289,122.373,25.5,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Baranamtarra,17.944,267.801,25.5,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Guilbert,-57.996,13.637,25.5,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Klafsky,-20.722,188.099,25.5,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Kauffman,49.437,27.112,25.5,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Behn,-32.449,142.04,25.4,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Bernhardt,31.562,84.419,25.3,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Recamier,-12.569,58.114,25.3,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Horner,23.415,97.747,25.2,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Thomas,-13.016,272.539,25.2,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Valadon,-49.043,167.66,25.2,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Fredegonde,-50.502,93.276,25.2,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Lullin,23.04,81.274,25.1,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
de Stael,37.387,324.254,25.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Richards,2.509,196.07,25.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Regina,30.0,147.265,24.9,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Cather,47.091,107.029,24.6,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Nina,-55.532,238.712,24.6,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Valentina,46.384,144.083,24.6,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Johnson,51.831,254.617,24.5,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Woolf,-37.683,27.202,24.5,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Kelea,8.888,25.585,24.5,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Mukhina,29.527,0.54,24.5,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Rand,-63.775,59.536,24.3,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Weil,19.359,283.127,24.2,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
