geophysical_review_rank,review_tier,candidate_id,name,lon,lat,diameter_km,followup_score,rank,data_quality,domain,tid_artifact_risk,tid_direct_fraction,gravity_bouguer_ring_score,gravity_freeair_ring_score,gravity_consensus_percentile,magnetic_ring_score,magnetic_ring_score_stratified_percentile,sediment_ring_score,geology_independence,geology_boundary_coincidence,geology_boundary_crossings,geology_nearby_types
47,C_morphology,arc_1108,#1104,-15.635842598718968,30.547527906675615,584.776107016893,0.7848063869580528,29.0,1.0,ocean,0.3985710875453737,0.6818362312736899,0.5246385956776478,0.6689212630066459,0.9551282051282051,0.4723678076378164,0.8846153846153846,0.3658958505193567,1.0,0.0,0.0,oceanic crust;passive margin
48,C_morphology,arc_0982,#981,116.97752025040494,35.99475558765058,32.82129727345484,0.7838474381278884,30.0,1.0,land,0.0,0.0,0.0928185072987985,0.0575521219847276,0.03937007874015748,0.0432736712243759,0.007874015748031496,,1.0,0.0,0.0,
49,C_morphology,arc_0304,#306,8.705393046772198,19.1364728691382,41.72602581072215,0.7832814009850165,31.0,1.0,land,0.0,0.0,0.1426553384038551,0.3098905872445264,0.5787401574803149,0.0829289694022183,0.11023622047244094,,1.0,0.0,0.0,
50,C_morphology,arc_0421,#415,11.000483542467954,40.63035817455184,124.15234066733224,0.7800172385250317,32.0,1.0,ocean,0.0,1.0,0.4545600038287217,0.4343116049967991,0.7407407407407407,0.4506906944524446,0.8888888888888888,0.1216445020632693,1.0,0.0,0.0,continental back-arc basin;orogenic belt
51,C_morphology,arc_0720,#703,57.269414919083395,46.06897765549382,65.39738758944144,0.7753387099526191,36.0,1.0,land,0.0,0.0,0.2637053724309762,0.3145000984560872,0.3185840707964602,0.3244722934096912,0.5575221238938053,,1.0,0.0,0.0,
52,C_morphology,arc_0210,#211,29.26526580426028,-29.33357340649748,35.86174713257449,0.7743185835353068,37.0,1.0,land,0.0,0.0,0.1051310349951655,0.1227689920377159,0.1732283464566929,0.0717690556006779,0.06299212598425197,,1.0,0.0,0.0,
53,C_morphology,arc_1092,#1089,7.980734620891093,52.62301648892784,35.30279051643656,0.7740379118412785,38.0,1.0,land,0.0,0.0,0.3189059599462614,0.1753818041222122,0.6732283464566928,0.1159512663565762,0.2677165354330709,,1.0,0.0,0.0,
54,C_morphology,arc_1081,#1079,29.61732831735361,-25.561277851233275,46.604835833843474,0.773419543837011,39.0,1.0,land,0.0,0.0,0.1732392154981539,0.2430171508772496,0.515748031496063,0.2908685652099196,0.889763779527559,,1.0,0.0,0.0,
55,C_morphology,arc_0145,#147,24.905708971071025,21.91519576076613,25.065085068332024,0.7727170243982735,40.0,1.0,land,0.0,0.0,0.0522210983842521,0.0711657259686509,0.4193548387096774,0.0323902993464799,0.14516129032258066,,1.0,0.0,0.0,
56,C_morphology,arc_0769,#763,175.35177611700664,49.133406946686065,284.92350596897825,0.7692194231011099,44.0,1.0,ocean,0.1926394386001826,0.1612960900001375,0.2983835263329595,0.3958254153963137,0.4235294117647059,0.4755227525942562,0.8705882352941177,0.4028902532852939,1.0,0.0,0.0,
57,C_morphology,arc_0761,#755,-172.72763549696515,15.849786342524013,697.3342443409732,0.7686614057708168,45.0,1.0,ocean,0.2993260075213078,0.3050704367329452,0.4034866157888033,0.4396491302503725,0.6474358974358974,0.3652874099782435,0.6025641025641025,0.2602900411356328,1.0,0.0,0.0,
