candidate_id,null_count,null_p_gravity_bouguer_ring_score,null_p_gravity_freeair_ring_score,null_p_magnetic_ring_score,null_p_tid_artifact_risk,observed_gravity_bouguer_ring_score,observed_gravity_freeair_ring_score,observed_magnetic_ring_score,observed_tid_artifact_risk
arc_0081,19,0.65,0.25,0.95,0.45,0.2720994343153655,0.35051505497075375,0.2292671329507284,0.2335752224758888
arc_0082,19,0.65,0.65,0.5,0.7,0.2542969456647943,0.25976619576974064,0.29787126085482546,0.19093185849838057
arc_0083,19,0.3,0.1,0.55,0.95,0.34436808976976796,0.5185782839341324,0.29314373631578133,0.08794682743205343
arc_0084,19,0.45,0.25,0.9,0.8,0.2865501300660941,0.3587989806150964,0.2437467551690222,0.13488756566080345
arc_0085,19,1.0,0.95,0.3,1.0,0.1811703579416231,0.1953273407061637,0.3433654546842374,0.1193564260350002
arc_0086,19,0.9,0.85,0.8,0.9,0.21485709921822468,0.23456323567107268,0.2664254726387924,0.1534315659905727
arc_0087,19,0.2,0.1,0.75,0.55,0.3238178821709187,0.42132627656663246,0.2707102563690207,0.2033166581727149
arc_0088,19,0.05,0.1,0.6,0.25,0.47589508456260365,0.351483096539164,0.2783705008178742,0.5248204042934118
arc_0089,19,0.05,0.25,1.0,0.95,0.45448088997189917,0.35115114724106883,0.13226682965257444,0.2969851950219591
arc_0090,19,0.15,0.25,0.65,0.95,0.3439463851304517,0.382839955185685,0.30823174295115385,0.12668969053083276
arc_0091,19,0.25,0.75,0.85,0.55,0.2976846819941544,0.24780784887328866,0.2548023400983668,0.4103576686610918
arc_0092,19,0.05,0.2,0.95,0.65,0.4317271455007279,0.37116925225550595,0.1590378916430162,0.2793926553672317
arc_0093,19,0.3,0.05,0.95,0.65,0.3052535183392,0.48283750289362254,0.16279909682802055,0.18587532051498307
arc_0094,19,0.75,0.2,0.75,1.0,0.2345561523400466,0.36786581381614225,0.24278005627693428,0.16284499437500777
arc_0095,19,0.25,0.25,0.4,0.75,0.32044841323384554,0.3570912741693499,0.3561470750587729,0.2055113856833163
arc_0096,19,0.35,0.15,0.7,0.95,0.28704984924734156,0.4326628483887174,0.29777407691007896,0.18172360643544136
arc_0097,19,0.75,0.3,0.75,0.85,0.25917026850572006,0.3514050050957595,0.29409734844884894,0.10646442759118817
arc_0098,19,0.1,0.2,0.25,0.7,0.352679743070125,0.3468395180202814,0.41462071102217,0.20401609883655267
arc_0099,19,0.25,1.0,0.35,0.55,0.33027202257095456,0.2157322303096681,0.3864243374382626,0.20650862456532154
arc_0100,19,0.1,0.25,0.1,0.65,0.3324307833264093,0.34496476596274617,0.5063721622492227,0.15190726168939991
arc_0101,19,0.45,0.4,0.6,0.55,0.281631933210739,0.3223223997800317,0.25473431194077245,0.21178239501514415
arc_0102,19,0.25,0.05,0.1,0.7,0.28615504941745107,0.4471341663196739,0.47914085925315314,0.18694942921769248
arc_0103,19,0.45,0.25,0.35,0.45,0.2981438239114532,0.33861134013716937,0.2879519593020496,0.5188470139436991
arc_0104,19,0.4,0.2,0.25,0.7,0.3206670814246989,0.3835831525559709,0.36176227590462745,0.14782378712914318
arc_0105,19,0.3,0.1,0.65,0.5,0.32896317608664033,0.4590683520092419,0.30031589268109227,0.21461258453006749
arc_0106,19,0.05,0.05,0.95,0.25,0.5519071473785021,0.5962858510198673,0.20756971956195147,0.3723051327819924
arc_0107,19,0.55,0.2,0.3,0.85,0.29787951337318164,0.35748326655963375,0.4016131175292684,0.1704665495445758
arc_0108,19,0.15,0.05,0.1,0.45,0.35243161343514606,0.4340983321818247,0.5783105816297444,0.23608724023210378
