structure_review_rank,structure_id,representative_candidate_id,representative_name,lon,lat,radius_km,diameter_km,member_count,member_candidate_ids,radius_min_km,radius_max_km,followup_score,review_tier,domain,geology_independence,geology_boundary_coincidence,geology_nearby_types,tid_artifact_risk,active_fault_coverage,nearest_active_fault_km,nearest_active_fault_name,nearest_active_fault_slip_type,fault_length_within_radius_km,fault_intersects_candidate,fault_search_degrees,active_fault_proximity_ratio,fault_control_flag
59,structure_0059,arc_0790,#784,122.61305329698268,5.63661743062077,63.24960315091016,126.49920630182032,1,arc_0790,63.24960315091016,63.24960315091016,0.7621309906914839,C_morphology,ocean,1.0,0.0,oceanic back-arc basin;volcanic arc,0.2744432504728712,1,104.41755143089071,,Dextral,0.0,0,2,1.6508807364649551,no_mapped_active_fault_within_radius
60,structure_0060,arc_0394,#387,-124.10270417464378,53.70703910869137,13.544418446940009,27.088836893880018,1,arc_0394,13.544418446940009,13.544418446940009,0.7610759643933511,A_cross_layer,land,1.0,0.0,accretionary complex;volcanic arc,0.0,1,491.83699421081064,,Subduction_Thrust,0.0,0,5,36.31289125757391,no_mapped_active_fault_within_radius
61,structure_0061,arc_0027,#023,14.191817624011662,-21.410229377075574,10.032880774324871,20.065761548649743,1,arc_0027,10.032880774324871,10.032880774324871,0.760242387156244,C_morphology,land,1.0,0.0,,0.0,1,1379.5765180243525,,Normal,0.0,0,20,137.50552299543162,no_mapped_active_fault_within_radius
62,structure_0062,arc_0783,#777,135.49460998737266,-1.57873168755187,120.22639154262598,240.45278308525195,1,arc_0783,120.22639154262598,120.22639154262598,0.7600592644062624,C_morphology,ocean,1.0,0.0,,0.1708736283327512,1,11.106952191441925,,Dextral,269.8874660184932,1,2,0.09238364429746677,intersects_active_fault
63,structure_0063,arc_0428,#422,20.58099032618162,42.58307129637104,33.27814090610084,66.55628181220168,1,arc_0428,33.27814090610084,33.27814090610084,0.7599380420208898,C_morphology,land,1.0,0.0,,0.0,1,22.475369313345585,,Normal,101.06780620834377,1,2,0.6753793541761585,intersects_active_fault
64,structure_0064,arc_0654,#637,29.906971865881644,-59.47623497477038,71.66058512145095,143.3211702429019,1,arc_0654,71.66058512145095,71.66058512145095,0.7597537035409718,C_morphology,ocean,1.0,0.0,,0.2585433775450123,1,698.9547029905983,,Spreading_Ridge,0.0,0,10,9.753684006431207,no_mapped_active_fault_within_radius
65,structure_0065,arc_1126,#1122,161.03470545341463,-31.38412349954357,340.82769895013524,681.6553979002705,1,arc_1126,340.82769895013524,340.82769895013524,0.759575235412161,C_morphology,ocean,0.8366488932305682,0.1633511067694317,continental back-arc basin;oceanic crust;wide rift,0.3750782405999226,1,866.145819671516,,Reverse,0.0,0,10,2.541301139372001,no_mapped_active_fault_within_radius
66,structure_0066,arc_1105,#1101,-12.158689207324755,38.06887838602087,180.54884513380944,361.0976902676189,1,arc_1105,180.54884513380944,180.54884513380944,0.7588566067649023,A_cross_layer,ocean,0.8922578858223151,0.1077421141776848,oceanic crust;passive margin,0.0134886670682448,1,132.5102153325543,,Reverse,311.64747526418216,1,2,0.7339300078842794,intersects_active_fault
67,structure_0067,arc_1095,#1092,-8.54159875049433,53.87878446806257,35.15313076368403,70.30626152736806,1,arc_1095,35.15313076368403,35.15313076368403,0.7585739567453397,A_cross_layer,land,1.0,0.0,,0.038998342775658,1,922.1403601276074,,Normal,0.0,0,20,26.232097685030418,no_mapped_active_fault_within_radius
68,structure_0068,arc_0513,#507,-47.7179742301351,49.6470335208736,185.0920582098474,370.1841164196948,1,arc_0513,185.0920582098474,185.0920582098474,0.7582632577128086,C_morphology,ocean,0.7211267271634347,0.2788732728365653,oceanic crust;passive margin;volcanic arc,0.5297132855554181,1,941.6770366991461,,Dextral_Transform,0.0,0,20,5.087614486579016,no_mapped_active_fault_within_radius
69,structure_0069,arc_1235,NULL#1235,-58.358392192624905,-8.813879588079054,13.367475598558704,26.734951197117407,1,arc_1235,13.367475598558704,13.367475598558704,0.7582378603227209,C_morphology,land,1.0,0.0,,0.0,1,1135.5924667057884,Rio Seco,Reverse,0.0,0,10,84.95190122720173,no_mapped_active_fault_within_radius
70,structure_0070,arc_0847,#845,84.54794585205588,63.42157858844396,11.231100985683485,22.46220197136697,1,arc_0847,11.231100985683485,11.231100985683485,0.7580538247357588,C_morphology,land,1.0,0.0,,0.0,1,1227.773297795555,Mayna Fault,Sinistral,0.0,0,20,109.31905067549681,no_mapped_active_fault_within_radius
71,structure_0071,arc_0136,#137,33.65698581069219,21.697600087532113,47.33128877874209,94.66257755748418,1,arc_0136,47.33128877874209,47.33128877874209,0.7557620387260953,C_morphology,land,1.0,0.0,,0.0,1,228.51963784334757,Kalabsha Fault,Strike-Slip,0.0,0,2,4.828088221125782,no_mapped_active_fault_within_radius
72,structure_0072,arc_0166,#168,-124.56004992636788,70.00357181515265,85.35158410289259,170.70316820578518,1,arc_0166,85.35158410289259,85.35158410289259,0.7555024726092661,B_gravity_supported,mixed,0.929442639133028,0.0705573608669719,craton;orogenic belt;shield,0.333168899048639,1,691.6533481713327,,Normal,0.0,0,20,8.103579511043808,no_mapped_active_fault_within_radius
73,structure_0073,arc_1093,#1090,-2.227999755957569,52.24188150597714,21.567530511622795,43.13506102324559,1,arc_1093,21.567530511622795,21.567530511622795,0.7549679021313546,C_morphology,land,1.0,0.0,,0.0,1,480.52004101446636,,Normal,0.0,0,10,22.279789554743548,no_mapped_active_fault_within_radius
74,structure_0074,arc_0002,Pilanesberg,27.07988013472888,-25.250101914362133,13.037715056762918,26.075430113525837,1,arc_0002,13.037715056762918,13.037715056762918,0.7543420420129167,C_morphology,land,1.0,0.0,,0.0,1,378.68943630091997,,Normal,0.0,0,5,29.04569049501403,no_mapped_active_fault_within_radius
75,structure_0075,arc_0584,#578,-171.55070315029747,65.9427981438332,6.56730290561906,13.13460581123812,1,arc_0584,6.56730290561906,6.56730290561906,0.7536643830906113,C_morphology,land,1.0,0.0,,0.0,1,287.1769559134123,,Normal,0.0,0,10,43.72829455874502,no_mapped_active_fault_within_radius
76,structure_0076,arc_0442,#436,162.9798457920619,16.69387559133835,329.34275387604447,658.6855077520889,1,arc_0442,329.34275387604447,329.34275387604447,0.7536474810652237,B_gravity_supported,ocean,1.0,0.0,,0.30702573547955,1,1611.4826707345587,,Subduction_Thrust,0.0,0,20,4.893026039798879,no_mapped_active_fault_within_radius
77,structure_0077,arc_1206,#1206,153.2783672021335,-28.39276742685427,16.987700515332403,33.975401030664806,1,arc_1206,16.987700515332403,16.987700515332403,0.7535897017234827,C_morphology,land,1.0,0.0,,0.1448534428213804,1,431.6172339532664,Condamine Creek Lineament,Reverse,0.0,0,5,25.40763145451654,no_mapped_active_fault_within_radius
