replicate,fault_intersection_fraction,median_log1p_fault_proximity_ratio
496,0.21875,1.6619502348434256
497,0.15625,1.9067786382145346
498,0.0625,2.4050812780664286
499,0.21875,1.854767883671304
500,0.1875,1.837571844975126
501,0.125,2.1202284602101122
502,0.125,2.041747358721994
503,0.28125,1.767153855742511
504,0.21875,1.886576164016803
505,0.1875,2.068105925551122
506,0.25,1.4652653790929415
507,0.15625,2.198144830242075
508,0.21875,1.7126606199136076
509,0.125,1.9503084458317443
510,0.1875,1.6642766371878552
511,0.03125,2.302429273206167
512,0.34375,1.3550506744831798
513,0.1875,2.127316140337886
514,0.21875,2.1709432890251854
515,0.125,2.1755344925880484
516,0.125,1.8886944488826358
517,0.25,1.878496044188932
518,0.21875,1.8010718825729777
519,0.125,1.79273769004817
520,0.125,1.8461163670525784
521,0.21875,1.7686587249676862
522,0.15625,2.1788075136221927
523,0.0625,2.2633396821104625
524,0.15625,1.8482346519184114
525,0.1875,1.9262269872224649
526,0.1875,1.6062709189906443
527,0.09375,2.2502742420265625
528,0.1875,1.857077110010084
529,0.15625,2.2496389857197734
530,0.15625,2.0184439398335714
531,0.21875,2.2497538868296254
532,0.1875,2.207373261942021
533,0.125,1.9455271572292951
534,0.09375,1.6554186769686123
535,0.25,1.9236727127603495
536,0.15625,2.330560694118981
537,0.0625,2.2709900147744544
538,0.21875,2.0399117105739095
539,0.125,2.0388629157100207
540,0.09375,2.221528126039576
541,0.09375,2.311307066974502
542,0.21875,2.0846953840670963
543,0.25,1.9508124361498584
544,0.125,1.7646406459500588
545,0.1875,2.2752645396410136
546,0.28125,1.701405836526654
547,0.15625,2.2865584994035113
548,0.1875,1.7434922636205432
549,0.125,2.3631450478853546
550,0.15625,2.109505268509122
551,0.25,1.1373823172062278
552,0.09375,2.235652049840423
553,0.03125,2.299698635834608
554,0.1875,1.5725906343109015
555,0.15625,2.2815236227402385
556,0.15625,1.840846249888286
557,0.15625,2.36204113557628
558,0.1875,1.95807548386245
559,0.28125,1.8493699832003565
560,0.125,2.310168000970437
561,0.03125,2.031613718741165
562,0.21875,1.8840107361598144
563,0.1875,1.7282184369437075
564,0.25,2.0504618161919983
565,0.1875,1.9483360086829078
566,0.125,1.4512607665051434
567,0.21875,1.381014860972324
568,0.125,2.414118940967996
569,0.125,1.8388041352227007
570,0.1875,1.3498473711569245
571,0.15625,2.2630313734879266
572,0.0625,2.2937358836825625
573,0.21875,2.221528126039576
574,0.1875,2.13881307359556
575,0.09375,1.9201811147552141
576,0.09375,2.2177767418809244
577,0.25,1.9133664214218915
578,0.15625,1.5226123877697653
579,0.125,1.886576164016803
580,0.1875,2.051987780994533
581,0.15625,2.1880359453221385
582,0.21875,1.7749171316789067
583,0.15625,1.9221417717987659
584,0.1875,1.7946557789379616
585,0.15625,2.083146701679994
586,0.1875,1.9740537363854926
587,0.09375,2.433345705049141
588,0.15625,1.9385284381950987
589,0.21875,2.0088654131737584
590,0.15625,1.8688180526566547
591,0.125,1.816809783860048
592,0.25,1.8087320629938015
593,0.1875,1.733283232920182
594,0.1875,1.8096662064616083
595,0.25,1.760082255163152
596,0.0625,1.8269042994995572
597,0.0625,1.8880090192337198
598,0.1875,2.1829340392241683
599,0.15625,1.8784624892804627
600,0.15625,1.94405623384923
601,0.21875,1.8104419042942674
602,0.1875,2.2447003689916345
603,0.1875,1.8605409174547802
604,0.21875,1.6341211063464032
605,0.1875,2.2447003689916345
606,0.09375,2.333693329410344
607,0.1875,1.383772007653249
608,0.15625,1.768957695678493
609,0.15625,1.536262056482606
610,0.03125,2.2153426196923904
611,0.1875,1.7473775667956257
612,0.0625,2.2067856333777116
613,0.09375,2.2038692475760735
614,0.1875,2.2447003689916345
615,0.125,2.3862354831641928
616,0.125,2.197337134494367
617,0.15625,2.163006220390171
618,0.125,2.2853719015141465
619,0.28125,1.6457679715027362
620,0.1875,1.891219971296226
621,0.21875,2.1521039471630967
622,0.3125,1.885407825837642
623,0.21875,2.18458281173926
624,0.21875,2.2023237962098747
625,0.0625,2.4494139953429825
626,0.15625,2.0099386758483355
627,0.125,1.5754786699888998
628,0.1875,1.881954087285598
629,0.09375,2.105566977583459
630,0.21875,2.0305630280517213
631,0.1875,1.7191909725024335
632,0.125,1.9859097070580214
633,0.15625,1.804397741577827
634,0.09375,2.0288940902158337
635,0.28125,1.7417107314475768
636,0.25,2.0780026621816736
637,0.125,1.9201811147552141
638,0.15625,1.9911889309894546
639,0.15625,2.3404656480211656
640,0.15625,1.8460735147149887
641,0.125,2.0986564350620274
642,0.28125,1.8553573685371996
643,0.1875,2.3158723590844894
644,0.15625,2.1134741679649887
645,0.1875,1.8441721088931355
646,0.15625,1.7763828041505783
647,0.15625,1.9050795805104408
648,0.125,1.75083604241578
649,0.21875,1.9968832528235527
650,0.09375,2.127357674521204
651,0.15625,2.4428487723454397
652,0.0625,2.4419839824683844
653,0.15625,1.8886532888473513
654,0.1875,1.9392138678440147
655,0.15625,1.9862792420817486
656,0.15625,2.103705013143177
657,0.0625,1.7484258551159242
658,0.28125,1.971831879431929
659,0.21875,1.959831937960876
660,0.09375,2.1594678014165165
661,0.1875,1.8531273063321447
662,0.15625,1.8976099056615907
663,0.28125,1.9046122428060177
664,0.1875,2.140476119774262
665,0.25,1.2558009620044177
666,0.21875,1.7186272507998677
667,0.15625,1.4806288478674001
668,0.0625,1.8823674044834573
669,0.03125,2.4738080291259976
670,0.1875,2.3131628231927617
671,0.28125,2.1151741352917632
672,0.125,2.3316338577407083
673,0.125,2.071995705706142
674,0.28125,1.925541557573549
675,0.09375,2.4298578062692036
676,0.21875,1.768957695678493
677,0.15625,1.8388041352227007
678,0.125,2.267529818087266
679,0.28125,1.3685646705204177
680,0.09375,2.5113729935900215
681,0.125,2.327780693596732
682,0.28125,1.2807836388402896
683,0.03125,2.2227560972848437
684,0.15625,2.1383285030314356
685,0.09375,1.9019227067396767
686,0.25,1.8456334585223335
687,0.3125,1.5555407593711714
688,0.28125,1.3601779437120531
689,0.21875,1.982787644076613
690,0.15625,2.244130636719934
691,0.21875,2.089337054666611
692,0.15625,1.8836880843647577
693,0.15625,1.8493699832003565
694,0.15625,2.407149360989478
695,0.125,1.885890734367887
696,0.0625,1.885890734367887
697,0.15625,1.6564879681737976
698,0.1875,2.096448410807106
699,0.125,1.9895634697675257
700,0.25,2.1728499781249866
701,0.25,1.7517872593918478
702,0.15625,2.1502605518927362
703,0.15625,2.411336298093717
704,0.125,1.895454387647565
705,0.25,1.825976218180183
706,0.125,2.4355982653999435
707,0.21875,2.014890199090181
708,0.1875,2.103858707735517
709,0.25,1.886576164016803
710,0.1875,1.6638275464312569
711,0.25,1.6314704061598728
712,0.09375,1.761488575460135
713,0.09375,2.302429273206167
714,0.03125,1.8730978274903323
715,0.15625,1.7200249432834187
716,0.25,1.1784486469671114
717,0.25,2.1997522214532363
718,0.09375,2.1912350972893195
719,0.21875,2.157331417833792
