record_id,source_index,name,source,old_display_name,repaired_display_name,old_diameter_km,rendered_diameter_raw,repaired_diameter_km,diameter_changed,diameter_source_verified,coordinate_status,coordinate_source_distance_km,analytical_include,duplicate_of_record_id,duplicate_resolution_note
astro_0038,38,Wolfe Creek,Wikipedia confirmed impact structures,Wolfe Creek,Wolfe Creek,0.9,0.9,0.9,False,True,verified_within_5_km,0.0005960502298615244,True,,
astro_0039,39,Woodleigh,Wikipedia confirmed impact structures,Woodleigh,Woodleigh,400.0,40,40.0,True,True,verified_within_5_km,0.03329963341761715,True,,
astro_0040,40,Yallalie,Wikipedia possible impact structures,Yallalie,Yallalie,12.0,12,12.0,False,True,verified_within_5_km,0.0005055486747279106,True,,
astro_0041,41,Yarrabubba,Wikipedia confirmed impact structures,Yarrabubba,Yarrabubba,300.0,30,30.0,True,True,verified_within_5_km,0.04961084209512609,True,,
astro_0042,42,Iturralde,Wikipedia possible impact structures,Iturralde,Iturralde,8.0,8.0,8.0,False,True,verified_within_5_km,0.05179217212371195,True,,
astro_0043,43,Jwaneng South,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Jwaneng South,Jwaneng South,1.3,1.3,1.3,False,False,pdf_source_preserved,,True,,
astro_0044,44,Araguainha,Wikipedia confirmed impact structures,Araguainha,Araguainha,400.0,40,40.0,True,True,verified_within_5_km,0.05131362318475877,True,,
astro_0045,45,Cerro do Jarau,Wikipedia possible impact structures,Cerro do Jarau: Cerro,Cerro do Jarau — Paraná,10.0,10,10.0,False,True,verified_within_5_km,0.032034368648707276,False,astro_0046,Possible-list Cerro do Jarau duplicates the confirmed-list record.
astro_0046,46,Cerro do Jarau,Wikipedia confirmed impact structures,Cerro do Jarau: Rochechouart,Cerro do Jarau — Rio Grande do Sul,13.5,13.5,13.5,False,True,verified_within_5_km,0.04899354929082518,True,,
astro_0047,47,Colonia,Wikipedia confirmed impact structures,Colonia: Rochechouart,Colonia,3.6,3.6,3.6,False,True,verified_within_5_km,0.03706502674476801,True,,
astro_0048,48,Piratininga,Wikipedia possible impact structures,Piratininga,Piratininga,12.0,12,12.0,False,True,verified_within_5_km,0.03706502674476801,True,,
astro_0049,49,Praia Grande,Wikipedia possible impact structures,Praia Grande: prai grande,Praia Grande,20.0,20,20.0,False,True,verified_within_5_km,0.03341245802441755,True,,
astro_0050,50,São Miguel do Tapuio,Wikipedia possible impact structures,São Miguel do Tapuio: Sao Miguel Do Tapuio,São Miguel do Tapuio,22.0,22,22.0,False,True,verified_within_5_km,0.005229173733114237,True,,
astro_0051,51,Tefé River,Wikipedia possible impact structures,Tefé River: Tefé,Tefé River,15.0,15,15.0,False,True,verified_within_5_km,0.0,True,,
astro_0052,52,Bloody Creek,Wikipedia possible impact structures,Bloody Creek,Bloody Creek,40.0,40,40.0,False,True,verified_within_5_km,0.02632303994077086,True,,
astro_0053,53,Bow City,Wikipedia possible impact structures,Bow City,Bow City,8.0,8,8.0,False,True,verified_within_5_km,0.04395013215236206,True,,
astro_0054,54,Brent,Wikipedia confirmed impact structures,Brent: Rochechouart,Brent,3.4,3.4,3.4,False,True,verified_within_5_km,0.045112637952708146,True,,
astro_0055,55,Carswell,Wikipedia confirmed impact structures,Carswell,Carswell,390.0,39,39.0,True,True,verified_within_5_km,0.0,True,,
astro_0056,56,Charity Shoal,Wikipedia possible impact structures,Charity Shoal,Charity Shoal,1.2,1.2,1.2,False,True,verified_within_5_km,8.881830442646676e-05,True,,
astro_0057,57,Charlevoix,Wikipedia confirmed impact structures,Charlevoix,Charlevoix,540.0,54,54.0,True,True,verified_within_5_km,0.03706502674441435,True,,
astro_0058,58,Clearwater East,Wikipedia confirmed impact structures,Clearwater East,Clearwater East,260.0,26,26.0,True,True,verified_within_5_km,0.03706502674370703,True,,
astro_0059,59,Clearwater West,Wikipedia confirmed impact structures,Clearwater West,Clearwater West,360.0,36,36.0,True,True,verified_within_5_km,0.03706502674370703,True,,
astro_0060,60,Corossol,Wikipedia possible impact structures,Corossol,Corossol,4.0,4,4.0,False,True,verified_within_5_km,0.023800152909915946,True,,
astro_0061,61,Couture,Wikipedia confirmed impact structures,Couture: Rochechouart,Couture,8.0,8,8.0,False,True,verified_within_5_km,0.03706502674441435,True,,
astro_0062,62,Dumas magnetic anomaly,Wikipedia possible impact structures,Dumas magnetic anomaly: Dumas,Dumas magnetic anomaly,3.2,3.2,3.2,False,True,verified_within_5_km,0.0,True,,
astro_0063,63,Hartney anomaly,Wikipedia possible impact structures,Hartney anomaly: Hartney,Hartney anomaly,8.0,8,8.0,False,True,verified_within_5_km,0.0,True,,
astro_0064,64,Haughton,Wikipedia confirmed impact structures,Haughton,Haughton,230.0,23,23.0,True,True,verified_within_5_km,0.03822700717520934,True,,
astro_0065,65,Hotchkiss,Wikipedia possible impact structures,Hotchkiss,Hotchkiss,4.0,4,4.0,False,True,verified_within_5_km,0.0,True,,
astro_0066,66,Jackpine Creek magnetic anomaly,Wikipedia possible impact structures,Jackpine Creek magnetic anomaly: Jackpine,Jackpine Creek magnetic anomaly,25.0,25,25.0,False,True,verified_within_5_km,0.0,True,,
astro_0067,67,Manicouagan,Wikipedia confirmed impact structures,Manicouagan,Manicouagan,1000.0,100,100.0,True,True,verified_within_5_km,0.03706502674441435,True,,
astro_0068,68,Merewether,Wikipedia possible impact structures,Merewether,Merewether,0.192,0.192,0.192,False,True,verified_within_5_km,0.0,True,,
astro_0069,69,Mistassini-Otish,Wikipedia possible impact structures,Mistassini-Otish: Mistassini lake,Mistassini-Otish,600.0,600,600.0,False,True,verified_within_5_km,0.0,True,,
astro_0070,70,Mistastin,Wikipedia confirmed impact structures,Mistastin,Mistastin,280.0,28,28.0,True,True,verified_within_5_km,0.03706502674441435,True,,
astro_0071,71,Montagnais,Wikipedia confirmed impact structures,Montagnais,Montagnais,450.0,45,45.0,True,True,verified_within_5_km,0.04595035095620917,True,,
